"¿Ã∏ß","«–π¯","√—¡°","«•¡ÿ¡°ºˆ","1","2","3","4","5","6","7","8","9","10","11","12","13"
"±Ëøµ¿œ","2018000001","64","71.6","4","4","3","4","0","4","0","4","11","18","12","0","0"
"±Ëøµ¿Ã","2018000002","66","74.2","0","4","3","4","3","0","0","4","14","18","16","0","0"
"±ËøµªÔ","2018000003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"±ËøµªÁ","2018000004","75","86.3","4","4","3","4","3","4","0","4","13","18","18","0","0"
"±Ëøµø¿","2018000005","56","61.1","0","4","3","4","0","4","0","4","15","8","14","0","0"
"±Ëøµ¿∞","2018000006","65","72.9","0","4","3","4","3","4","0","4","11","16","16","0","0"
"±Ëøµƒ•","2018000007","37","41","0","0","3","0","3","0","0","0","12","6","8","0","5"
"±Ëøµ∆»","2018710008","75","86.3","4","4","3","0","3","4","4","0","15","18","20","0","0"
"±Ëøµ±∏","2018000009","17","14","0","0","0","0","3","4","0","0","10","0","0","0","0"
"±Ë¿œøµ","2018000010","52","56.7","4","4","3","4","3","0","0","4","14","8","8","0","0"
"±Ë¿œ¿œ","2018000011","84","98.6","4","4","3","4","3","4","4","4","15","18","16","0","5"
"±Ë¿œ¿Ã","2018000012","67","75.5","0","4","3","4","0","4","0","4","14","18","16","0","0"
"±Ë¿œªÔ","2018000013","39","43.1","4","0","0","0","0","4","4","4","13","10","0","0","0"
"±Ë¿œªÁ","2018000014","72","82.2","0","0","3","0","3","4","0","4","15","18","20","0","5"
"±Ë¿œø¿","2018000015","40","44.2","0","0","3","4","3","0","0","0","2","16","12","0","0"
"±Ë¿œ¿∞","2018000016","45","49.4","4","4","0","4","0","0","0","4","13","16","0","0","0"
"±Ë¿œƒ•","2018000017","44","48.3","0","0","0","4","3","0","0","0","14","16","2","0","5"
"±Ë¿œ∆»","2018000018","67","75.5","4","4","3","4","3","4","0","4","15","12","14","0","0"
"±Ë¿œ±∏","2018000019","72","82.2","4","4","3","4","3","4","0","4","14","8","20","0","4"
"±Ë¿Ãøµ","2018000020","33","34.9","0","4","0","0","3","4","0","0","12","6","4","0","0"
"±Ë¿Ã¿œ","2018000021","68","76.8","0","4","3","4","3","0","0","4","14","18","18","0","0"
"±Ë¿Ã¿Ã","2018000022","50","54.6","4","0","3","0","3","0","0","4","14","18","4","0","0"
"±Ë¿ÃªÔ","2018710023","40","44.2","0","0","3","4","3","4","0","0","14","10","2","0","0"
"±Ë¿ÃªÁ","2018000024","87","100","4","0","3","4","3","4","4","0","14","16","20","10","5"
"±Ë¿Ãø¿","2018000025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"±Ë¿Ã¿∞","2018000026","83","97.3","4","0","3","4","3","4","4","4","15","20","20","2","0"
"±Ë¿Ãƒ•","2018000027","67","75.5","4","4","3","4","3","4","4","4","15","16","6","0","0"
"","","","","","","","","","","","","","","","",""
"","¡§¥‰¿≤(πÃ¿¿Ω√ ¡¶ø‹)(%)","","","52","60","80","72","80","68","24","68","87.5","69.2","57.2","4.8","23.2"
"","∆Ú±’","58.6","","","","","","","","","","","","","",""
"","¡ﬂ∞£","65","","","","","","","","","","","","","",""
"","√÷º“","17","","","","","","","","","","","","","",""
"","√÷¥Î","87","","","","","","","","","","","","","",""
"","4∫–¿ß∞™","17","44","65","72","87","","","","","","","","","",""
"","«•¡ÿ∆Ì¬˜","17.7","","","","","","","","","","","","","",""
"","µÓ±ﬁ","D","C","B","A","S","","","","","","","","","",""
"","πÆ¡¶ µÓ±ﬁ∫∞ √—¡°","27","18","24","16","15","","","","","","","","","",""
"","µÓ±ﬁ ±‚¡ÿ ø¯¡°ºˆ","24.3","36","55.2","70.4","85","","","","","","","","","",""
