번호   이름        학번   1  2  3  4  5  6  7  8  9 10 11 12 13
1   김영일   2018000001  4  4  3  4  0  4  0  4 11 18 12  0  0 
2   김영이   2018000002  0  4  3  4  3  0  0  4 14 18 16  0  0 
3   김영삼   2018000003  결시
4   김영사   2018000004  4  4  3  4  3  4  0  4 13 18 18  0  0 
5   김영오   2018000005  0  4  3  4  0  4  0  4 15  8 14  0  0 
6   김영육   2018000006  0  4  3  4  3  4  0  4 11 16 16  0  0 
7   김영칠   2018000007  0  0  3  0  3  0  0  0 12  6  8  0  5 
8   김영팔   2018710008  4  4  3  0  3  4  4  0 15 18 20  0  0 
9   김영구   2018000009  0  0  0  0  3  4  0  0 10  0  0  0  0 
10  김일영   2018000010  4  4  3  4  3  0  0  4 14  8  8  0  0 
11  김일일   2018000011  4  4  3  4  3  4  4  4 15 18 16  0  5 
12  김일이   2018000012  0  4  3  4  0  4  0  4 14 18 16  0  0 
13  김일삼   2018000013  4  0  0  0  0  4  4  4 13 10  0  0  0 
14  김일사   2018000014  0  0  3  0  3  4  0  4 15 18 20  0  5 
15  김일오   2018000015  0  0  3  4  3  0  0  0  2 16 12  0  0 
16  김일육   2018000016  4  4  0  4  0  0  0  4 13 16  0  0  0 
17  김일칠   2018000017  0  0  0  4  3  0  0  0 14 16  2  0  5 
18  김일팔   2018000018  4  4  3  4  3  4  0  4 15 12 14  0  0 
19  김일구   2018000019  4  4  3  4  3  4  0  4 14  8 20  0  4 
20  김이영   2018000020  0  4  0  0  3  4  0  0 12  6  4  0  0 
21  김이일   2018000021  0  4  3  4  3  0  0  4 14 18 18  0  0 
22  김이이   2018000022  4  0  3  0  3  0  0  4 14 18  4  0  0 
23  김이삼   2018710023  0  0  3  4  3  4  0  0 14 10  2  0  0 
24  김이사   2018000024  4  0  3  4  3  4  4  0 14 16 20 10  5 
25  김이오   2018000025  대체
26  김이육   2018000026  4  0  3  4  3  4  4  4 15 20 20  2  0 
27  김이칠   2018000027  4  4  3  4  3  4  4  4 15 16  6  0  0 
